Id,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
8024H00000Ry3EOQAZ,51.449999999999996,,
8024H00000Ry3EPQAZ,77.175,,
8024H00000Ry3EQQAZ,51.449999999999996,,
8024H00000Ry3ERQAZ,11.27,,
8024H00000Ry3ESQAZ,30.38,,
8024H00000Ry3ETQAZ,36.26,,
8024H00000QDjRhQAL,138.289368,,177.00368
8024H00000QDjRiQAL,138.289368,,177.00368
8024H00000QDjRjQAL,0.0,200.81738599999997,
8024H00000QDjRkQAL,373.993676,,187.321904
8024H00000QDjRlQAL,0.0,,
8024H00000QDjRmQAL,170.754024,,
8024H00000QDjRnQAL,83.426616,,178.744356
8024H00000QDjRoQAL,16.599338,,
8024H00000QDjRpQAL,7.203882,,
8024H00000QDokjQAD,83.426616,,180.547948
8024H00000QDokkQAD,134.965306,,
8024H00000QDoklQAD,6.637638,,
8024H00000QDokmQAD,16.599338,,
8024H00000QDoknQAD,0.0,173.732048,
8024H00000QDokoQAD,346.373552,,172.65198999999998
8024H00000QDokpQAD,138.289368,,177.00368
8024H00000QDokqQAD,162.44911199999999,,180.547948
8024H00000QDokrQAD,0.0,149.352098,
8024H00000QDoksQAD,55.31365,,
8024H00000QDoktQAD,283.12199999999996,,
8024H00000QDokuQAD,71.912988,,
8024H00000QE2uBQAT,236.37541199999998,,
8024H00000QFV7zQAH,225.4,,
8024H00000QFV80QAH,196.0,,
8024H00000QFV81QAH,284.2,,
8024H00000QFV82QAH,289.1,,
8024H00000QFV83QAH,269.5,,132.3
8024H00000ShwF6QAJ,211.56553599999998,,
8024H00000SjSjPQAV,1.6567880000000001,,
8024H00000SjSjQQAV,38.72479799999999,,
8024H00000SjSjRQAV,298.69370999999995,,
8024H00000TJNrxQAH,0.0,62.034,
8024H00000TLSu4QAH,0.0,,
8024H00000TM18LQAT,4.425091999999999,,4.425091999999999
8028e000000wkRbAAI,543.6152119999999,,171.82359599999998
8028e000000wkx2AAA,369.1072,,
8028e000000wkx3AAA,78.17313,,
8028e000000wkx7AAA,67.1104,,
8028e000000wkx8AAA,78.17313,,
8028e000000wmeVAAQ,293.16758799999997,,85.188264
8028e000000wrxMAAQ,165.424,,160.2594
8028e000000wsjVAAQ,195.412,,195.412
8028e000000pUCcAAM,19.252295999999998,,248.140704
8028e000000pUCdAAM,12.834864,,206.427396
8028e000000mYDGAA2,0.0,,
8028e000000mYa0AAE,113.4644,,226.919
8028e000000mfmjAAA,54.5272,,
8028e000000ms3vAAA,362.165468,,153.46261
8028e000000nG94AAE,43.4238,,
8028e000000nG95AAE,12.4068,,
8028e000000nLsrAAE,82.712,,165.424
8028e000000npaNAAQ,493.92,,123.48
8028e0000025thOAAQ,344.77968,,
8028e000002HPNGAA4,31.017,,
8028e0000032qKCAAY,401.8,,88.2
8028e0000032qKDAAY,529.2,,132.3
8028e0000035F5GAAU,107.37664,,214.75328
8028e0000036vlUAAQ,219.26226,,
8028e000003UhekAAC,569.7719999999999,,139.94400000000002
8028e000003bkENAAY,333.2,,
8028e000003bl0WAAQ,33.156732,,230.07332599999998
8028e000003bl0XAAQ,11.765291999999999,,205.882124
8028e000003bl0YAAQ,393.22499999999997,,125.83200000000001
8028e000003bl8EAAQ,367.5,,117.6
8028e000003bmUvAAI,333.2,,
8028e000003boucAAA,15.4938,,215.02179999999998
8028e000003boudAAA,10.9956,,192.4132
8028e000003ofSRAAY,245.0,,
8028e000003ofSSAAY,439.824,,
8028e000003ofSTAAY,264.6,,
8028e000003ofSUAAY,421.4,,122.5
8028e000003ofSVAAY,429.82800000000003,,124.95
8028e000003qVh9AAE,421.4,,122.5
8028e000003qVhAAAU,421.4,,122.5
8028e000003qVhBAAU,245.0,,
8028e000003qVhCAAU,431.2,,
8028e000003qVhDAAU,264.6,,
8028e0000046ch7AAA,0.0,,5390.0
8028e0000046ch8AAA,49.98,,
8028e0000046ch9AAA,461.58,,
8028e0000046chAAAQ,207.76,,
8028e000004CGzuAAG,401.0895,,128.34864
8028e000004CkETAA0,252.84,,
8028e000004dPdIAAU,100.94,,201.88
8028e000004zx2FAAQ,0.0,141.12,
8028e000005HWMKAA4,210.7,,80.36
8028e000005pHVgAAM,249.9,,
8028e000005pHVhAAM,0.0,169.93200000000002,
8028e000005qE49AAE,249.9,,
8028e000005qGBRAA2,393.22499999999997,,125.83200000000001
8028e000005sfYMAAY,401.0895,,128.34864
8028e00000686eFAAQ,53.9,,
8028e00000686eGAAQ,115.64,,
8028e000006L7f1AAC,339.86400000000003,,
8028e000006L7f2AAC,0.0,,
8028e000006bpdeAAA,1244.6,,
8028e000006lF3yAAE,196.0,,
8028e000006lF3zAAE,196.0,,
8028e000002qBqEAAU,1244.6,,
8028e0000070e4TAAQ,0.0,,4900.0
8028e0000070e4UAAQ,98.0,,
8028e0000070e4VAAQ,149.94,,
8028e0000070eXAAAY,109.75999999999999,,
8028e0000070eXBAAY,51.94,,
8028e0000070eXCAAY,47.04,,
8028e0000070eXDAAY,485.09999999999997,,
8028e00000712MfAAI,254.89800000000002,,
8028e00000712RYAAY,344.86199999999997,,
8028e0000071PaQAAU,289.1,,
8028e000007Hef0AAC,10.160934,,
8028e000007Hef1AAC,20.321868,,176.47938
8028e000007Hef2AAC,46.369091999999995,,213.9144
8028e000007Hef3AAC,178.262,,1174.432
8028e000007Hef4AAC,44.1,,
8028e000007Hef5AAC,36.701,,
8028e000007h6b0AAA,429.82800000000003,,
8028e000008AxtaAAC,220.331832,,69.52218
8028e000000Ae49AAC,347.8608,,
802Sj0000006o6zIAA,486.65526,,160.4358
802Sj000000IJsFIAW,294.845348,,
802Sj000000sxzBIAQ,704.6591999999999,,
802Sj000000wvcDIAQ,670.076372,,163.68645999999998
802Sj000000wvcEIAQ,260.870708,,
802Sj000001J58JIAS,417.13308,,
802Sj000001yhnuIAA,842.8,,
802Sj000002CoJGIA0,393.22499999999997,,209.72
802Sj000002GGe0IAG,84.28,,84.28
802Sj000002GGe1IAG,88.2,,
802Sj000002HexZIAS,93.1,,186.2
802Sj000003EaczIAC,503.32800000000003,,167.77599999999998
