Id,OrderItemNumber,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
802Sj00000D8DwfIAF,0000082239,137.5,,138.0
802Sj00000DHid4IAD,0000082421,762.2,,152.44
802Sj00000DHid5IAD,0000082422,155.0,,
802Sj00000EDEgOIAX,0000083094,688.0,,688.0
802Sj00000EDEgPIAX,0000083095,63.0,,
802Sj00000EkIBZIA3,0000083660,243.0,,
802Sj00000Er6s2IAB,0000083773,26.0,,26.0
802Sj00000EuaTlIAJ,0000083890,10.0,,
802Sj00000EuaTmIAJ,0000083891,8.0,,
802Sj00000EuaTnIAJ,0000083892,12.0,,260.56
802Sj00000EuaToIAJ,0000083893,10.0,,194.81
802Sj00000EuaTpIAJ,0000083894,77.0,,
802Sj00000EuaTqIAJ,0000083895,185.0,,
802Sj00000EyId8IAF,0000084019,207.0,,207.0
802Sj00000F0KpKIAV,0000084049,197.34,,
802Sj00000F04CkIAJ,0000084050,8.0,,
802Sj00000F04ClIAJ,0000084051,185.0,,
802Sj00000F04CmIAJ,0000084052,10.0,,110.0
802Sj00000F04CnIAJ,0000084053,10.5,,250.0
802Sj00000F04CoIAJ,0000084054,8.0,,230.0
802Sj00000F04CpIAJ,0000084055,0.0,,
802Sj00000F04CqIAJ,0000084056,0.0,,
802Sj00000FHH8iIAH,0000085539,207.0,0.0,207.0
802Sj00000FpW6rIAF,0000086697,17.0,,17.0
802Sj00000FsXj7IAF,0000086781,782.0,-0.05,156.41
802Sj00000FsXj8IAF,0000086782,157.0,,
8024H00000R9ic2QAB,0000027218,219.41955,,
8024H00000R9ic3QAB,0000027219,305.3352,,
8024H00000R9icBQAR,0000027227,159.537,,
8024H00000R9icCQAR,0000027228,249.28218,,
8024H00000R9icDQAR,0000027229,244.0456,,
8024H00000R9icEQAR,0000027230,316.1315,,
8024H00000R9icFQAR,0000027231,325.8257,,148.5802
8024H00000R9icGQAR,0000027232,190.995,,
8024H00000R9icQQAR,0000027242,158.469675,,
8024H00000R9icRQAR,0000027243,158.469675,,
8024H00000R9icSQAR,0000027244,173.097645,,195.0396
8024H00000R9icTQAR,0000027245,258.0733,,
8024H00000R9icUQAR,0000027246,,153.9409,
8024H00000R9icVQAR,0000027247,60.9472,,
8024H00000R9icWQAR,0000027248,104.86,,
8024H00000R9icXQAR,0000027249,276.3061,,
8024H00000R9iceQAB,0000027256,106.9572,,
8024H00000R9icfQAB,0000027257,158.469675,,
8024H00000R9icgQAB,0000027258,158.469675,,
